treatment_health_id,outlet_id,outlet_name,market_context,period_type,period_start,period_end,rolling_window_weeks,treatment_category,treatment_variant,session_duration_min,treatment_key,pricing_position,recommended_sell_price_eur,market_price_median_eur,commercial_market_price_median_eur,benchmark_methodology_status,launch_recommendation_flag,external_demand_proxy_index,external_stress_flag,bookings_count,guest_count,sold_hours,hours_available,utilization_percent,revenue_eur,revpath_eur_per_available_hour,yield_eur_per_sold_hour,avg_ticket_eur,rebooking_rate_percent,addon_attach_rate_percent,retail_attach_rate_percent,cancellation_rate_percent,no_show_rate_percent,complaint_rate_percent,service_recovery_rate_percent,demand_strength_score,yield_quality_score,utilization_contribution_score,retention_quality_score,risk_penalty_score,market_fit_score,treatment_health_score_0_100,treatment_health_band,treatment_health_primary_driver,treatment_health_secondary_driver,treatment_health_risk_flag,treatment_health_action_hint,score_confidence_level,sample_size_observations,minimum_sample_rule_applied,data_coverage_flag,source_dependency_status,qa_status,audit_note,status
THS_00001,MLT_OUTLET_001,Valletta,Malta,weekly,2026-01-05,2026-01-11,12,aromatherapy,standard,60,aromatherapy|standard|60,premium_core,64.0,76.0,76.0,below_market_median,launch_with_upside_room,0.92,no,11,11,11.0,19.0,57.89,681.12,35.85,61.92,61.92,41.18,14.5,6.7,11.4,4.1,2.8,22.4,73.5,61.92,57.89,34.51,5.209999999999999,78.4,63.96,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00046,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-02,2026-02-08,12,massage,standard,60,massage|standard|60,accessible_premium,58.0,85.0,85.0,below_market_median,launch_with_upside_room,1.02,no,12,12,12.0,20.0,60.0,695.76,34.79,57.98,57.98,43.0,20.79,14.58,7.24,2.19,1.47,11.76,77.0,57.98,60.0,37.4475,3.123,51.4,61.56,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00047,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-02,2026-02-08,12,reflexology,standard,45,reflexology|standard|45,traffic_builder,34.0,75.0,75.0,below_market_median,launch_as_entry_price,1.02,no,12,12,9.0,17.0,52.94,406.32,23.9,45.15,33.86,46.81,21.79,11.04,6.72,3.75,3.21,25.68,77.0,45.15,52.94,40.555,3.783,26.200000000000003,54.64,watchlist,commercial_performance,market_misalignment,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00048,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-02,2026-02-08,12,scrub,standard,45,scrub|standard|45,premium_core,52.0,50.0,50.0,in_line_with_market_median,launch,1.02,no,12,12,9.0,17.0,52.94,595.8,35.05,66.2,49.65,39.8,12.74,6.49,7.02,3.36,1.04,8.32,77.0,66.2,52.94,33.035,3.322,96.4,66.95,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00049,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-02,2026-02-08,12,swedish,standard,60,swedish|standard|60,premium_core,64.0,69.5,69.5,in_line_with_market_median,launch,1.02,no,12,12,12.0,20.0,60.0,779.88,38.99,64.99,64.99,46.87,19.58,8.08,8.41,2.79,1.29,10.32,77.0,64.99,60.0,40.0475,3.6180000000000003,90.1,68.27,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00050,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-02,2026-02-08,12,wrap,standard,60,wrap|standard|60,premium_core,82.0,72.0,72.0,exact_only_locked,review_before_launch,1.02,no,12,12,12.0,20.0,60.0,957.84,47.89,79.82,79.82,39.72,17.99,13.51,7.19,3.07,2.91,23.28,77.0,79.82,60.0,34.2875,3.66,82.0,69.93,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00051,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-09,2026-02-15,12,aromatherapy,standard,60,aromatherapy|standard|60,premium_core,64.0,76.0,76.0,below_market_median,launch_with_upside_room,0.97,no,12,12,12.0,20.0,60.0,752.88,37.64,62.74,62.74,40.13,22.28,6.32,10.03,3.56,1.49,11.92,77.0,62.74,60.0,35.667500000000004,4.375,78.4,65.56,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00052,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-09,2026-02-15,12,body_treatment,standard,60,body_treatment|standard|60,premium_core,69.0,77.5,77.5,below_market_median,launch,0.97,no,12,12,12.0,20.0,60.0,818.52,40.93,68.21,68.21,49.29,19.33,12.55,10.36,3.39,2.16,17.28,77.0,68.21,60.0,41.8,4.557,84.7,68.6,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00053,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-09,2026-02-15,12,deep_tissue,standard,60,deep_tissue|standard|60,premium_core,78.0,80.0,80.0,in_line_with_market_median,launch,0.97,no,12,12,12.0,20.0,60.0,958.56,47.93,79.88,79.88,42.13,13.11,7.21,8.14,4.16,3.72,29.76,77.0,79.88,60.0,34.875,4.434,96.4,71.7,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00054,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-09,2026-02-15,12,facial,basic,60,facial|basic|60,premium_core,94.0,100.0,100.0,in_line_with_market_median,launch,0.97,no,12,12,12.0,20.0,60.0,1051.08,52.55,87.59,87.59,44.1,25.52,6.28,6.98,3.61,1.21,9.68,77.0,87.59,60.0,39.455000000000005,3.4189999999999996,89.2,73.5,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00055,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-09,2026-02-15,12,hot_stone,standard,75,hot_stone|standard|75,premium_core,95.0,90.0,90.0,in_line_with_market_median,launch,0.97,no,7,7,8.75,16.75,52.24,672.63,40.16,76.87,96.09,47.9,26.04,14.82,7.73,2.48,3.09,24.72,59.5,76.87,52.24,42.434999999999995,3.6809999999999996,91.0,66.36,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,low,7,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00056,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-09,2026-02-15,12,massage,standard,60,massage|standard|60,accessible_premium,58.0,85.0,85.0,below_market_median,launch_with_upside_room,0.97,no,12,12,12.0,20.0,60.0,703.2,35.16,58.6,58.6,51.91,27.85,10.95,7.73,2.59,3.25,26.0,77.0,58.6,60.0,45.894999999999996,3.746,51.4,63.02,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00057,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-09,2026-02-15,12,reflexology,standard,45,reflexology|standard|45,traffic_builder,34.0,75.0,75.0,below_market_median,launch_as_entry_price,0.97,no,12,12,9.0,17.0,52.94,394.56,23.21,43.84,32.88,51.68,18.86,15.01,9.71,2.92,3.79,30.32,77.0,43.84,52.94,43.474999999999994,4.547000000000001,26.200000000000003,54.73,watchlist,commercial_performance,market_misalignment,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00058,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-09,2026-02-15,12,scrub,standard,45,scrub|standard|45,premium_core,52.0,50.0,50.0,in_line_with_market_median,launch,0.97,no,12,12,9.0,17.0,52.94,627.36,36.9,69.71,52.28,51.16,17.12,16.75,7.01,4.05,2.52,20.16,77.0,69.71,52.94,42.65,3.8219999999999996,96.4,69.29,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00059,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-09,2026-02-15,12,swedish,standard,60,swedish|standard|60,premium_core,64.0,69.5,69.5,in_line_with_market_median,launch,0.97,no,12,12,12.0,20.0,60.0,744.12,37.21,62.01,62.01,44.11,27.2,17.41,6.64,4.05,1.27,10.16,77.0,62.01,60.0,39.88249999999999,3.461,90.1,67.54,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00060,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-09,2026-02-15,12,wrap,standard,60,wrap|standard|60,premium_core,82.0,72.0,72.0,exact_only_locked,review_before_launch,0.97,no,12,12,12.0,20.0,60.0,971.52,48.58,80.96,80.96,44.26,22.76,15.03,9.13,3.14,1.88,15.04,77.0,80.96,60.0,38.885,4.057,82.0,70.91,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00061,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-16,2026-02-22,12,aromatherapy,standard,60,aromatherapy|standard|60,premium_core,64.0,76.0,76.0,below_market_median,launch_with_upside_room,0.91,no,11,11,11.0,19.0,57.89,710.49,37.39,64.59,64.59,39.6,20.79,11.3,10.96,2.9,2.48,19.84,73.5,64.59,57.89,34.8975,4.654,78.4,64.71,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00062,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-16,2026-02-22,12,body_treatment,standard,60,body_treatment|standard|60,premium_core,69.0,77.5,77.5,below_market_median,launch,0.91,no,11,11,11.0,19.0,57.89,773.3,40.7,70.3,70.3,50.87,21.89,7.21,9.2,2.95,1.43,11.44,73.5,70.3,57.89,43.625,3.9309999999999996,84.7,68.29,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00063,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-16,2026-02-22,12,deep_tissue,standard,60,deep_tissue|standard|60,premium_core,78.0,80.0,80.0,in_line_with_market_median,launch,0.91,no,11,11,11.0,19.0,57.89,805.2,42.38,73.2,73.2,49.98,13.3,7.02,10.6,2.87,3.47,27.76,73.5,73.2,57.89,40.81,4.734999999999999,96.4,69.88,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00064,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-16,2026-02-22,12,facial,basic,60,facial|basic|60,premium_core,94.0,100.0,100.0,in_line_with_market_median,launch,0.91,no,11,11,11.0,19.0,57.89,1063.59,55.98,96.69,96.69,53.84,27.78,15.04,9.3,3.46,3.44,27.52,73.5,96.69,57.89,47.325,4.516,89.2,75.71,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00065,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-16,2026-02-22,12,hot_stone,standard,75,hot_stone|standard|75,premium_core,95.0,90.0,90.0,in_line_with_market_median,launch,0.91,no,6,6,7.5,15.5,48.39,551.52,35.58,73.54,91.92,44.05,26.5,7.33,8.13,4.27,2.68,21.44,56.0,73.54,48.39,39.662499999999994,4.256,91.0,63.61,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,low,6,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00066,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-16,2026-02-22,12,massage,standard,60,massage|standard|60,accessible_premium,58.0,85.0,85.0,below_market_median,launch_with_upside_room,0.91,no,11,11,11.0,19.0,57.89,624.8,32.88,56.8,56.8,40.58,13.88,13.79,7.85,3.66,1.17,9.36,73.5,56.8,57.89,33.905,3.6870000000000003,51.4,59.52,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00067,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-16,2026-02-22,12,reflexology,standard,45,reflexology|standard|45,traffic_builder,34.0,75.0,75.0,below_market_median,launch_as_entry_price,0.91,no,11,11,8.25,16.25,50.77,375.76,23.12,45.55,34.16,42.19,25.9,8.68,10.13,4.64,2.12,16.96,73.5,45.55,50.77,38.1175,4.855,26.200000000000003,53.1,watchlist,commercial_performance,market_misalignment,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00068,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-16,2026-02-22,12,scrub,standard,45,scrub|standard|45,premium_core,52.0,50.0,50.0,in_line_with_market_median,launch,0.91,no,11,11,8.25,16.25,50.77,587.07,36.13,71.16,53.37,51.87,20.44,17.92,7.85,4.66,1.13,9.04,73.5,71.16,50.77,44.012499999999996,3.979,96.4,68.68,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00069,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-16,2026-02-22,12,swedish,standard,60,swedish|standard|60,premium_core,64.0,69.5,69.5,in_line_with_market_median,launch,0.91,no,11,11,11.0,19.0,57.89,659.89,34.73,59.99,59.99,48.75,23.13,11.45,10.02,4.66,2.57,20.56,73.5,59.99,57.89,42.345,4.918,90.1,66.18,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00070,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-16,2026-02-22,12,wrap,standard,60,wrap|standard|60,premium_core,82.0,72.0,72.0,exact_only_locked,review_before_launch,0.91,no,11,11,11.0,19.0,57.89,895.51,47.13,81.41,81.41,43.18,27.21,16.68,10.14,4.52,1.14,9.12,73.5,81.41,57.89,39.1875,4.6259999999999994,82.0,69.87,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00071,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-23,2026-03-01,12,aromatherapy,standard,60,aromatherapy|standard|60,premium_core,64.0,76.0,76.0,below_market_median,launch_with_upside_room,1.05,no,13,13,13.0,21.0,61.9,811.72,38.65,62.44,62.44,46.7,17.65,13.0,7.48,2.15,1.56,12.48,80.5,62.44,61.9,39.43750000000001,3.2010000000000005,78.4,67.3,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,13,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00072,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-23,2026-03-01,12,body_treatment,standard,60,body_treatment|standard|60,premium_core,69.0,77.5,77.5,below_market_median,launch,1.05,no,13,13,13.0,21.0,61.9,841.23,40.06,64.71,64.71,47.86,16.95,15.77,8.9,3.57,3.09,24.72,80.5,64.71,61.9,40.13249999999999,4.359,84.7,68.62,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,13,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00073,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-23,2026-03-01,12,deep_tissue,standard,60,deep_tissue|standard|60,premium_core,78.0,80.0,80.0,in_line_with_market_median,launch,1.05,no,13,13,13.0,21.0,61.9,1012.44,48.21,77.88,77.88,54.48,23.61,13.36,5.65,3.42,3.47,27.76,80.5,77.88,61.9,46.7625,3.415,96.4,74.32,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,13,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00074,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-23,2026-03-01,12,facial,basic,60,facial|basic|60,premium_core,94.0,100.0,100.0,in_line_with_market_median,launch,1.05,no,13,13,13.0,21.0,61.9,1187.55,56.55,91.35,91.35,39.71,18.02,15.73,8.73,3.33,1.14,9.12,80.5,91.35,61.9,34.2875,3.846,89.2,74.66,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,13,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00075,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-23,2026-03-01,12,hot_stone,standard,75,hot_stone|standard|75,premium_core,95.0,90.0,90.0,in_line_with_market_median,launch,1.05,no,7,7,8.75,16.75,52.24,684.11,40.84,78.18,97.73,53.35,25.47,16.06,5.6,2.79,2.14,17.12,59.5,78.18,52.24,46.38,2.945,91.0,67.36,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,low,7,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00076,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-23,2026-03-01,12,massage,standard,60,massage|standard|60,accessible_premium,58.0,85.0,85.0,below_market_median,launch_with_upside_room,1.05,no,13,13,13.0,21.0,61.9,736.58,35.08,56.66,56.66,53.12,25.01,18.0,6.66,2.15,1.17,9.36,80.5,56.66,61.9,46.092499999999994,2.877,51.4,63.76,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,13,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00077,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-23,2026-03-01,12,reflexology,standard,45,reflexology|standard|45,traffic_builder,34.0,75.0,75.0,below_market_median,launch_as_entry_price,1.05,no,13,13,9.75,17.75,54.93,455.13,25.64,46.68,35.01,51.83,15.96,11.41,7.22,3.14,3.83,30.64,80.5,46.68,54.93,42.862500000000004,3.8739999999999997,26.200000000000003,56.49,watchlist,commercial_performance,market_misalignment,risk_normal,maintain and monitor,medium,13,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00078,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-23,2026-03-01,12,scrub,standard,45,scrub|standard|45,premium_core,52.0,50.0,50.0,in_line_with_market_median,launch,1.05,no,13,13,9.75,17.75,54.93,637.39,35.91,65.37,49.03,48.99,21.89,10.3,8.82,2.81,1.69,13.52,80.5,65.37,54.93,42.215,3.827,96.4,69.3,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,13,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00079,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-23,2026-03-01,12,swedish,standard,60,swedish|standard|60,premium_core,64.0,69.5,69.5,in_line_with_market_median,launch,1.05,no,13,13,13.0,21.0,61.9,783.25,37.3,60.25,60.25,47.61,25.63,12.62,7.69,2.64,3.32,26.56,80.5,60.25,61.9,42.114999999999995,3.7630000000000003,90.1,68.56,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,13,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00080,MLT_OUTLET_001,Valletta,Malta,weekly,2026-02-23,2026-03-01,12,wrap,standard,60,wrap|standard|60,premium_core,82.0,72.0,72.0,exact_only_locked,review_before_launch,1.05,no,13,13,13.0,21.0,61.9,1051.18,50.06,80.86,80.86,39.75,24.08,13.44,8.51,2.41,1.4,11.2,80.5,80.86,61.9,35.832499999999996,3.5559999999999996,82.0,71.55,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,13,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00081,MLT_OUTLET_002,Sliema,Malta,weekly,2026-01-05,2026-01-11,12,aromatherapy,standard,60,aromatherapy|standard|60,premium_core,64.0,76.0,76.0,below_market_median,launch_with_upside_room,0.92,no,12,12,12.0,20.0,60.0,768.36,38.42,64.03,64.03,44.61,21.44,10.71,8.45,2.91,1.04,8.32,77.0,64.03,60.0,38.817499999999995,3.6159999999999997,78.4,66.44,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00082,MLT_OUTLET_002,Sliema,Malta,weekly,2026-01-05,2026-01-11,12,body_treatment,standard,60,body_treatment|standard|60,premium_core,69.0,77.5,77.5,below_market_median,launch,0.92,no,12,12,12.0,20.0,60.0,806.28,40.31,67.19,67.19,51.54,18.34,13.47,11.22,3.34,2.54,20.32,77.0,67.19,60.0,43.24,4.876,84.7,68.56,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00083,MLT_OUTLET_002,Sliema,Malta,weekly,2026-01-05,2026-01-11,12,deep_tissue,standard,60,deep_tissue|standard|60,premium_core,78.0,80.0,80.0,in_line_with_market_median,launch,0.92,no,12,12,12.0,20.0,60.0,951.24,47.56,79.27,79.27,46.87,16.13,11.51,11.4,2.93,3.78,30.24,77.0,79.27,60.0,39.184999999999995,5.055,96.4,72.2,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00084,MLT_OUTLET_002,Sliema,Malta,weekly,2026-01-05,2026-01-11,12,facial,basic,60,facial|basic|60,premium_core,94.0,100.0,100.0,in_line_with_market_median,launch,0.92,no,12,12,12.0,20.0,60.0,1159.56,57.98,96.63,96.63,42.84,13.21,7.55,9.57,3.3,2.9,23.2,77.0,96.63,60.0,35.432500000000005,4.441,89.2,74.95,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00085,MLT_OUTLET_002,Sliema,Malta,weekly,2026-01-05,2026-01-11,12,hot_stone,standard,75,hot_stone|standard|75,premium_core,95.0,90.0,90.0,in_line_with_market_median,launch,0.92,no,7,7,8.75,16.75,52.24,626.99,37.43,71.66,89.57,40.75,17.53,16.76,8.21,2.92,2.92,23.36,59.5,71.66,52.24,34.945,3.923,91.0,63.89,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,low,7,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00086,MLT_OUTLET_002,Sliema,Malta,weekly,2026-01-05,2026-01-11,12,massage,standard,60,massage|standard|60,accessible_premium,58.0,85.0,85.0,below_market_median,launch_with_upside_room,0.92,no,12,12,12.0,20.0,60.0,680.28,34.01,56.69,56.69,39.65,14.7,9.34,10.27,2.98,1.58,12.64,77.0,56.69,60.0,33.412499999999994,4.291,51.4,60.52,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00087,MLT_OUTLET_002,Sliema,Malta,weekly,2026-01-05,2026-01-11,12,reflexology,standard,45,reflexology|standard|45,traffic_builder,34.0,75.0,75.0,below_market_median,launch_as_entry_price,0.92,no,12,12,9.0,17.0,52.94,386.64,22.74,42.96,32.22,41.24,17.83,12.04,7.95,2.88,2.38,19.04,77.0,42.96,52.94,35.3875,3.7249999999999996,26.200000000000003,53.29,watchlist,commercial_performance,market_misalignment,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00088,MLT_OUTLET_002,Sliema,Malta,weekly,2026-01-05,2026-01-11,12,scrub,standard,45,scrub|standard|45,premium_core,52.0,50.0,50.0,in_line_with_market_median,launch,0.92,no,12,12,9.0,17.0,52.94,623.4,36.67,69.27,51.95,39.25,25.98,17.05,7.76,4.24,2.88,23.04,77.0,69.27,52.94,35.9325,4.175999999999999,96.4,68.08,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00089,MLT_OUTLET_002,Sliema,Malta,weekly,2026-01-05,2026-01-11,12,swedish,standard,60,swedish|standard|60,premium_core,64.0,69.5,69.5,in_line_with_market_median,launch,0.92,no,12,12,12.0,20.0,60.0,718.92,35.95,59.91,59.91,41.95,15.35,10.45,8.71,4.25,3.24,25.92,77.0,59.91,60.0,35.300000000000004,4.536,90.1,66.22,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00090,MLT_OUTLET_002,Sliema,Malta,weekly,2026-01-05,2026-01-11,12,wrap,standard,60,wrap|standard|60,premium_core,82.0,72.0,72.0,exact_only_locked,review_before_launch,0.92,no,12,12,12.0,20.0,60.0,962.76,48.14,80.23,80.23,50.96,12.59,9.03,10.07,3.38,2.39,19.12,77.0,80.23,60.0,41.3675,4.513,82.0,71.09,healthy,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,12,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
THS_00091,MLT_OUTLET_002,Sliema,Malta,weekly,2026-01-12,2026-01-18,12,aromatherapy,standard,60,aromatherapy|standard|60,premium_core,64.0,76.0,76.0,below_market_median,launch_with_upside_room,0.88,yes,11,11,11.0,19.0,57.89,704.99,37.1,64.09,64.09,40.4,19.16,12.39,11.98,3.98,2.6,20.8,73.5,64.09,57.89,35.089999999999996,5.308,78.4,64.57,watchlist,commercial_performance,operating_signal,risk_normal,maintain and monitor,medium,11,standard,partial,scaffold_with_reference_join,pending_qa,initial scaffold build; formula weights are provisional,scaffold_generated
